読み方	日本語	英語
うけいれる	受け入れる	accept, accommodate
うけつける	受け付ける	receive, accept
うける	受ける	receive, accept
うかる	受かる	pass
とりけし	取消し	cancellation, annulment
しゅざい	取材	collection of data, gathering of news
とりひき	取引	transaction, dealings
とれる	取れる	come off, be removed
とれる	取れる	be harvested, be cultivated
とる	取る	take, get
とりかえす	取り返す	take back, regain
とりしまる	取り締まる	control, crack down
とりしまり	取り締まり	regulation, crackdown
とりくむ	取り組む	grapple, pursue
とりけす	取り消す	cancel, nullify
とりきめ	取り決め	decision, agreement
とりつぐ	取り次ぐ	relay a message, transfer a call
とりかえる	取り替える	change, replace
とりあえず	取り敢えず	for now, first of all
とりあつかう	取り扱う	handle, deal in
とりあつかい	取り扱い	handling, manipulation
とりもどす	取り戻す	take back, recover
とりだす	取り出す	take out, pull out
とりいれる	取り入れる	take in, adopt
とりあげる	取り上げる	take up, confiscate
しゅうしゅう	収集	collection, gathering
しゅうかく	収穫	harvest, harvesting
しゅうし	収支	earnings and expenses
しゅうにゅう	収入	income, earnings
はんろん	反論	objection, counterargument
はんせい	反省	reflection, repentance
はんぱつ	反発	reaction, backlash
はんえい	反映	reflection
はんかん	反感	ill feeling, antipathy
はんのう	反応	reaction, response
はんしゃ	反射	reflection
はんたい	反対	oppose, object
はんそく	反則	foul, rule violation
はんする	反する	oppose, act contrary to
ふたご	双子	twins
ともだち	友達	friend, companion
ゆうじょう	友情	friendship
ゆうじん	友人	friend
とも	友	friend, companion
およぶ	及ぶ	reach to, come up to
また	又	again, also, or
さんぎいん	参議院	House of Councilors, Upper House
さんこうしょ	参考書	reference book
さんこう	参考	reference, consultation
さんか	参加	participation
まいる	参る	go, come
きょねん	去年	last year
さる	去る	go away, leave
げんじゅう	厳重	strict, secure
きびしい	厳しい	strict, severe, intense
げんこうようし	原稿用紙	manuscript paper, writing pad
げんり	原理	principle, theory
げんりょう	原料	raw material
げんしりょく	原子力	atomic energy, nuclear power
げんいん	原因	cause, origin
げんそく	原則	principle, general rule
はら	原	plain, field
あつぎ	厚着	heavy clothing
あつさ	厚さ	thickness
あつい	厚い	thick, bulky
たまご	卵	egg
きけん	危険	danger, dangerous
きき	危機	crisis, emergency
あぶない	危ない	dangerous, uncertain
いんかん	印鑑	personal seal
いんしょう	印象	impression
いんさつ	印刷	printing
しるし	印	mark, symbol
しめる	占める	occupy, hold
はくぶつかん	博物館	museum
はかせ	博士	expert, doctor
はくし	博士	Ph.D.
たんちょう	単調	monotonous, dull
たんご	単語	word
たんじゅん	単純	simple, uncomplicated
たんすう	単数	singular
たんい	単位	unit, credit
たんに	単に	merely, simply
なんせい	南西	southwest
なんきょく	南極	South Pole
なんとう	南東	southeast
なんぼく	南北	north and south
みなみ	南	south
きょうぎ	協議	conference, deliberation
きょうりょく	協力	cooperation, collaboration
そつぎょう	卒業	graduation
ひきょう	卑怯	cowardice, meanness
いやしい	卑しい	mean, greedy
はんめん	半面	profile, one side
はんそで	半袖	short-sleeved shirt
はんつき	半月	half a month
はんにち	半日	half a day
はんけい	半径	radius
はんとし	半年	half a year
はんとし	半年	half a year
はんとう	半島	peninsula
はんどうたい	半導体	semiconductor
はんぶん	半分	half
なかば	半ば	middle, halfway
ごご	午後	afternoon, p.m.
ごぜん	午前	morning, a.m.
せん	千	thousand
とおか	十日	ten days, 10th of the month
じゅうじろ	十字路	crossroads
じゅうぶん	十分	full, plentiful
じゅう	十	ten
いしゃ	医者	doctor
いりょう	医療	medical service, healthcare
いし	医師	doctor, physician
いがく	医学	medical science, medicine
くかく	区画	division, section
くやくしょ	区役所	ward office
くいき	区域	zone
くべつ	区別	distinction, classification
くぎる	区切る	punctuate, divide
くぶん	区分	division, section
く	区	ward
きたかぜ	北風	north wind
ほくせい	北西	northwest
ほっきょく	北極	North Pole
ほくとう	北東	northeast
きた	北	north
けしょう	化粧	make up, put on makeup
かがく	化学	chemistry
ほうたい	包帯	bandage, dressing
ほうちょう	包丁	kitchen knife, carving knife
つつむ	包む	wrap, pack
つつみがみ	包み紙	wrapping paper
つつみ	包み	package, parcel
におう	匂う	smell (pleasant)
におい	匂い	smell, odor
すすめる	勧める	suggest, recommend
きんむ	勤務	duty, service
きんべん	勤勉	diligence, hard work
きんろう	勤労	labor, work
つとめさき	勤め先	employment
つとめる	勤める	serve, hold a job
つとめ	勤め	service, duties
せいりょく	勢力	influence, power
いきおい	勢い	vigor, momentum
ぼしゅう	募集	recruitment, collection
しょうぶ	勝負	match
しょうはい	勝敗	victory or defeat
かって	勝手	selfish, self-centered
かつ	勝つ	win
かち	勝ち	win, victory
つとめる	務める	perform a duty, play a role
つとめ	務め	duty, task
かんちがい	勘違い	misunderstanding
かんじょう	勘定	check, tab
かん	勘	sense, intuition
どうし	動詞	verb
どうぶつえん	動物園	zoo
どうぶつ	動物	animal
どうこう	動向	trend, tendency
どうりょく	動力	power
どうさ	動作	movements, actions
うごく	動く	move
うごき	動き	movement, motion
うごかす	動かす	move, operate
べんきょう	勉強	study
ゆうき	勇気	courage, nerve
ゆうかん	勇敢	brave, heroic
こうりつ	効率	efficiency
こうか	効果	effect, result
こうりょく	効力	effect, validity
きく	効く	be effective
ききめ	効き目	effect, efficacy
ろうりょく	労力	labor, work
ろうどうしゃ	労働者	laborer, worker
ろうどう	労働	labor, toil
はげます	励ます	encourage, urge
どりょく	努力	endeavor, effort
つとめる	努める	endeavor, make efforts, try hard
じょし	助詞	particle, postposition
じょしゅ	助手	assistant, helper
たすける	助ける	help, save
たすかる	助かる	be helped, be rescued
おとる	劣る	be inferior to, be worse than
かこう	加工	processing, manufacturing
くわわる	加わる	join in
くわえる	加える	add, include
ちからづよい	力強い	powerful, vigorous
ちから	力	strength, power
げきじょう	劇場	theater
げき	劇	drama, play
そうりつ	創立	establishment, organization
わりあいに	割合に	relatively, rather
わりあい	割合	rate, proportion
われる	割れる	crack, be divided, split
わる	割る	divide, crack, split
わりこむ	割り込む	cut in
わりばし	割り箸	disposable chopsticks
わりざん	割り算	division
わりあてる	割り当てる	assign, allot
わりあて	割り当て	assignment, allotment
わりびく	割り引く	give a discount, make a reduction
わりびき	割り引き	discount, reduction
わり	割り	rate
わりに	割に	comparatively, rather
ふくし	副詞	adverb
ぜんしん	前進	advancement
ぜんしゃ	前者	the former
ぜんき	前期	previous term, last semester
ぜんぽう	前方	front
ぜんてい	前提	assumption, premise
ぜんご	前後	before and after, order
ぜんねん	前年	the year before
まえうりけん	前売り券	advance ticket
ぜんかい	前回	last time
まえむき	前向き	facing forward, positively
ぜんはん	前半	first half
まえもって	前もって	in advance
まえ	前	front, before
さくじょ	削除	deletion, elimination
さくげん	削減	curtailment, reduction
けずる	削る	grind down, trim, scale back
そる	剃る	shave
きざむ	刻む	cut fine
さしみ	刺身	sashimi, sliced raw meat
しげき	刺激	stimulus, stimulation
さす	刺す	stab, prick, sting
ささる	刺さる	stick, be stuck
けん	券	voucher, ticket
せいげん	制限	restriction, limit
せいふく	制服	uniform
せいぎょ	制御	control, command
せいど	制度	system, organization
とうたつ	到達	arrival, attainment
とうちゃく	到着	arrival
とうてい	到底	after all, in the long run
りえき	利益	profit, benefit
りよう	利用	utilization, usage
りそく	利息	interest
りし	利子	interest
りこう	利口	clever, bright
きく	利く	work, function
わかれる	別れる	separate, part from
わかれ	別れ	separation, parting
べつに	別に	especially, particularly
べつべつ	別々	separately
べつ	別	another, different
はんけつ	判決	judicial decision, judgment
はんだん	判断	judgment, decision
はんこ	判子	seal, stamp
はつもうで	初詣で	first shrine visit of the new year
しょきゅう	初級	beginner class, elementary level
しょほ	初歩	first steps, beginning
しょき	初期	early days, initial
しょにち	初日	first day, opening day
はつこい	初恋	first love
しょか	初夏	early summer
はじめて	初めて	for the first time
はじめ	初め	beginning
れっしゃ	列車	train
れっとう	列島	archipelago
れつ	列	row, line
けいむしょ	刑務所	prison
けいじ	刑事	detective
きっぷ	切符	ticket
きって	切手	postage stamp
きれる	切れる	run out, expire, can cut
きれ	切れ	sharpness
きる	切る	cut
ぶんるい	分類	classification
ぶんり	分離	separation, split
ぶんや	分野	field, sphere
ぶんかい	分解	taking apart
ぶんれつ	分裂	division, split
ぶんせき	分析	analysis
ぶんさん	分散	dispersion
ぶんたん	分担	assigning tasks, sharing burden
わける	分ける	divide into parts, sort, share
